X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
-73.9674069524601,40.7772529662424,16F-PM-1013-02,16F,PM,10132018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,Woods,false,false,false,false,true,,false,false,false,false,false,false,false,true,,POINT (-73.9674069524601 40.7772529662424)
-73.9696173677837,40.7705202790525,8H-AM-1017-04,08H,AM,10172018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,true,false,,false,false,false,false,false,false,true,false,,POINT (-73.9696173677837 40.7705202790525)
-73.9756573579063,40.7656644063024,1G-PM-1010-01,01G,PM,10102018,1,Adult,Gray,White,Gray+White,,Above Ground,15,,false,false,true,true,false,,false,false,false,true,false,false,true,false,too busy eating in his tree,POINT (-73.9756573579063 40.7656644063024)
-73.9700691629574,40.7828893645197,20A-PM-1017-01,20A,PM,10172018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.97006916295742 40.7828893645197)
-73.9596964641652,40.7957753591585,37B-AM-1018-03,37B,AM,10182018,3,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,false,false,,POINT (-73.9596964641652 40.7957753591585)
-73.9685604013735,40.7773439909065,15F-PM-1010-03,15F,PM,10102018,3,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9685604013735 40.7773439909065)
-73.957342596188,40.7944359654227,37E-PM-1006-09,37E,PM,10062018,9,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,false,false,false,false,false,moseying,false,false,false,false,true,true,false,false,,POINT (-73.957342596188 40.7944359654227)
-73.9586214081667,40.7937473968735,35D-PM-1013-03,35D,PM,10132018,3,Juvenile,Gray,White,Gray+White,No Tail!,Above Ground,2,bench,false,false,false,true,false,,false,false,false,false,false,false,true,false,,POINT (-73.9586214081667 40.7937473968735)
-73.9528149779809,40.7924984810637,36I-AM-1017-06,36I,AM,10172018,6,Adult,Gray,Black,Gray+Black,Darker than others,Above Ground,10,Running down tree,true,false,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9528149779809 40.7924984810637)
-73.9717425494287,40.7664227676653,3I-PM-1013-07,03I,PM,10132018,7,Adult,Gray,Black,Gray+Black,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9717425494287 40.7664227676653)
-73.9695176417703,40.7741725190048,12G-PM-1007-04,12G,PM,10072018,4,,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,false,true,,POINT (-73.9695176417703 40.7741725190048)
-73.9762348224648,40.7694522315322,4D-PM-1008-08,04D,PM,10082018,8,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,false,false,true,true,true,climbed fence staring at me - went up tree,false,false,false,false,false,false,false,true,,POINT (-73.97623482246482 40.7694522315322)
-73.9523001834395,40.7949231000186,39H-AM-1007-02,39H,AM,10072018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,true,true,,false,false,false,false,true,false,true,false,,POINT (-73.9523001834395 40.7949231000186)
-73.9750283794865,40.7724101927821,8C-PM-1013-08,08C,PM,10132018,8,,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9750283794865 40.7724101927821)
-73.9689700100267,40.7775169562765,15E-PM-1008-05,15E,PM,10082018,5,Adult,Gray,,Gray+,,Above Ground,20,,false,false,false,false,false,sitting,false,true,false,false,false,false,false,false,,POINT (-73.9689700100267 40.7775169562765)
-73.9683965841952,40.7718679848978,10I-AM-1010-03,10I,AM,10102018,3,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9683965841952 40.7718679848978)
-73.9554095823557,40.7887305802044,32I-AM-1013-01,32I,AM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,true,false,false,true,false,,POINT (-73.9554095823557 40.7887305802044)
-73.9696001184129,40.7820810673532,19B-PM-1018-05,19B,PM,10182018,5,Juvenile,Gray,"Cinnamon, White","Gray+Cinnamon, White","Gray, Cinnamon & White selected as Primary. Gray & White selected as Highlights. Made executive adjustments.",Ground Plane,FALSE,,false,false,false,true,false,,false,false,false,false,false,false,true,false,,POINT (-73.9696001184129 40.7820810673532)
-73.9795081274695,40.7691431548544,3B-PM-1007-03,03B,PM,10072018,3,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,true,false,false,false,,POINT (-73.9795081274695 40.7691431548544)
-73.9578779556574,40.7934116539732,35E-PM-1006-06,35E,PM,10062018,6,Adult,Gray,,Gray+,,Above Ground,,,false,false,false,false,true,,false,false,false,false,false,false,false,false,,POINT (-73.9578779556574 40.7934116539732)
-73.958356112357,40.796014459571,38C-AM-1019-07,38C,AM,10192018,7,Adult,Gray,Cinnamon,Gray+Cinnamon,Gray & Cinnamon selected as Primary. Nothing selected as Highlights. Made executive adjustments.,Ground Plane,FALSE,,true,false,false,false,true,,false,false,false,false,true,false,false,true,,POINT (-73.958356112357 40.796014459571)
-73.9646610347972,40.7790583544252,19H-AM-1010-05,19H,AM,10102018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,near a brush,false,false,false,true,true,,false,false,false,false,false,false,false,true,,POINT (-73.9646610347972 40.7790583544252)
-73.960601067176,40.7917243850136,32D-PM-1006-09,32D,PM,10062018,9,Juvenile,Gray,"Black, Cinnamon, White","Gray+Black, Cinnamon, White",,Ground Plane,FALSE,,false,false,false,true,false,,false,false,false,false,true,true,false,false,,POINT (-73.960601067176 40.7917243850136)
-73.9539734770934,40.7956055442,39G-PM-1013-04,39G,PM,10132018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,true,false,true,false,,false,false,false,false,false,false,false,false,,POINT (-73.9539734770934 40.7956055442)
